Event	ID	Name			Wwise Object Path	Notes
	414206330	fx_bulle			\Default Work Unit\SFX\fx_bulle	
	529726532	end			\Default Work Unit\MUS\end	
	879807740	fx_monster			\Default Work Unit\SFX\fx_monster	
	1252715098	fx_door			\Default Work Unit\SFX\fx_door	
	1753944917	bug_room			\Default Work Unit\SFX\bug_room	
	2325123060	fx_destroy			\Default Work Unit\SFX\fx_destroy	
	2585328977	fx_hit			\Default Work Unit\SFX\fx_hit	
	2869415603	fx_att			\Default Work Unit\SFX\fx_att	
	2955764622	fx_select			\Default Work Unit\SFX\fx_select	
	3114787480	fx_none			\Default Work Unit\SFX\fx_none	
	3149643052	mus_menu			\Default Work Unit\MUS\mus_menu	
	3161053200	fx_grab			\Default Work Unit\SFX\fx_grab	
	3348100181	fx_next			\Default Work Unit\SFX\fx_next	
	3444599549	mus_victory			\Default Work Unit\MUS\mus_victory	
	3872889310	fx_button			\Default Work Unit\SFX\fx_button	
	4106786016	mus_start_bug			\Default Work Unit\MUS\mus_start_bug	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	25716274	MUS III trans	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\MUS III trans_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_03\MUS III trans\MUS III trans		153530
	58646746	MUS BUG LOOP D	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LOOP D_3BD6A003.wem		\Actor-Mixer Hierarchy\Default Work Unit\BUG\BUG\MUS BUG LOOP D		226384
	72010145	MUS BUG LOOP E	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LOOP E_5A688AEA.wem		\Actor-Mixer Hierarchy\Default Work Unit\BUG\BUG\MUS BUG LOOP E		270284
	106810603	MUS intro	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\MUS intro_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\INTRO\MUS intro\MUS intro		276422
	119527989	MUS BUG LOOP B	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LOOP B_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_A\MUS BUG LOOP B\MUS BUG LOOP B		226813
	174307834	fx_hit	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_hit_F5B62A06.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_hit		41420
	194369685	fx_vic	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_vic_8060C475.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_vic		420276
	225887680	MUS BUG SMP A	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG SMP A_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_D\MUS BUG SMP A\MUS BUG SMP A		275709
	229192031	MUS BUG LOOP A	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LOOP A_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_B\MUS BUG LOOP A\MUS BUG LOOP A		28192
	270990786	fx_button	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_button_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_button		181484
